Article Title,Reprint Addresses,Funding Orgs,"Times Cited, WoS Core","Times Cited, All Databases",Publication Date,Publication Year,DOI,
Performance study of a GEM-TPC prototype using cosmic rays,"Li, YL (corresponding author), Tsinghua Univ, Dept Engn Phys, Minist Educ, Key Lab Particle & Radiat Imaging, Beijing 100084, Peoples R China.",,9,11,NOV 11,2008,10.1016/j.nima.2008.08.022,
Radiation effects on the mechanical properties of the material for the BESIII beam pipe supporting flange,"Wang, L (corresponding author), Univ Sci & Technol Beijing, Beijing 100083, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [50676009]; BEPC great reconstruction project; Chinese Academy of SciencesChinese Academy of Sciences [U-603, U-34]",0,0,NOV 11,2008,10.1016/j.nima.2008.08.135,
Search for exotic state 1(-+) pi(1)(1400) at BESIII,"Zhang, ZX (corresponding author), Peking Univ, Dept Phys, Beijing 100871, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10575002, 10721063, 10521003, 10625524]",0,0,NOV,2008,10.1088/1674-1137/32/11/001,
Design and assembly of the CsI(T1) crystal module of the BESIII electro-magnetic calorimeter,"Dong, MY (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,3,4,NOV,2008,10.1088/1674-1137/32/11/012,
First measurements of J/psi decays into Sigma(+)(Sigma)over-bar(-) and Xi(0)(Xi)over-bar(0),"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,10,10,NOV,2008,10.1103/PhysRevD.78.092005,
THEORETICAL OVERVIEW OF NEUTRINO PROPERTIES,"Xing, ZZ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, POB 918, Beijing 100049, Peoples R China.",,25,25,OCT 20,2008,10.1142/S0217751X08042730,
Significance of absolute energy scale for physics at BESIII,"Fu, CD (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10225522, 10491303, 10775077, 10775142]; Research and Development Project of Important Scientific Equipment of CAS [H7292330S7]; CASChinese Academy of Sciences [U-25]",10,10,OCT,2008,10.1088/1674-1137/32/10/002,
A monitor for the composition of the gas mixture of BESIII muon chambers,"Qian, S (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Expt Phys Ctr, Beijing 100049, Peoples R China.",,2,2,OCT 1,2008,10.1016/j.nima.2008.07.102,
J/psi weak decays in the covariant light-front quark model,"Shen, YL (corresponding author), Ocean Univ China, Coll Informat Sci & Engn, Qingdao 266003, Peoples R China.","National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10475085, 10625525]",22,23,OCT,2008,10.1103/PhysRevD.78.074012,
Study of a(0)(0)(980)-f(0)(980) mixing from a(0)(0)(980)-> f(0)(980) transition,"Wu, JJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, POB 918 4, Beijing 100049, Peoples R China.",National Natural Science Foundation of China (NSFC)National Natural Science Foundation of China (NSFC); Chinese Academy of SciencesChinese Academy of Sciences [KJCX3-SYW-N2],44,45,OCT,2008,10.1103/PhysRevD.78.074017,
Deriving energy-gap of some nonlinear Hamiltonians by invariant eigen-operator method,"Fan, HY (corresponding author), Univ Sci & Technol China, Dept Mat Sci & Engn, Hefei 230026, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10775097]; President Foundation of the Chinese Academy of SciencesChinese Academy of Sciences,2,2,SEP 15,2008,,
Determination of event start time at BESIII,"Ma, X (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","CAS Knowledge Innovation ProjectKnowledge Innovation Program of the Chinese Academy of Sciences [U-602, U-34]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10491300, 10491303, 10605030]; 100 Talents Program of CASChinese Academy of Sciences [U-25, U-54]",13,14,SEP,2008,10.1088/1674-1137/32/9/012,
Study on cooling process of cryogenic system for superconducting magnets of BEPC II,"Zong, ZG (corresponding author), Chinese Acad Sci, Tech Inst Phys & Chem, Beijing 100080, Peoples R China.",BEPC II,0,1,SEP,2008,10.1088/1674-1137/32/9/016,
The recent BES results on R value and high mass charmonia states,"Wang, P (corresponding author), Inst High Energy Phys, POB 918, Beijing 100049, Peoples R China.",,0,0,SEP,2008,10.1016/j.nuclphysbps.2008.09.026,
Some mass relations in charmonium,"Zhang, AL (corresponding author), Shanghai Univ, Dept Phys, Shanghai 200444, Peoples R China.",,0,0,AUG 20,2008,10.1142/S0217751X08041852,
SO(3) gauge symmetry and nearly tri-bimaximal neutrino mixing,"Wu, YL (corresponding author), Chinese Acad Sci, Inst Theoret Phys, Kavli Inst Theoret Phys China, Beijing 100190, Peoples R China.",,3,3,AUG 20,2008,10.1142/S0217751X08042158,
An elementary introduction to recently developed asymptotic methods and nanomechanics in textile engineering,"He, JH (corresponding author), Donghua Univ, Modern Text Inst, Key Lab Sci & Technol Ecotext, Minist Educ, 1882 Yanan Xilu Rd, Shanghai 200051, Peoples R China.","National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10772054, 10572038]; New Century Excellent Talents in UniversityProgram for New Century Excellent Talents in University (NCET) [NCET-05-0417];  [B07024]",426,435,AUG 20,2008,10.1142/S0217979208048668,
Event generators at BESIII,"Ping, RG (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,252,263,AUG,2008,10.1088/1674-1137/32/8/001,
Design and implementation of the detector control system for the BESIII drift chamber cosmic ray test,"Chen, XH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,2,2,AUG,2008,10.1088/1674-1137/32/8/012,
Design and implementation of the BESIII detector-control system,"Chen, XH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, POB 918-1, Beijing 100049, Peoples R China.",,12,15,JUL 21,2008,10.1016/j.nima.2008.04.072,
Track reconstruction using the TSF method for the BESIII main drift chamber,"Liu, QG (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","CAS Knowledge Innovation ProjectKnowledge Innovation Program of the Chinese Academy of Sciences [U-602, U-34]; National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [10491300, 10491303, 10605030]; 100 Talents Program of CASChinese Academy of Sciences [U-25, U-54]",8,8,JUL,2008,10.1088/1674-1137/32/7/011,
A method for detector description exchange among ROOT GEANT4 and GEANT3,"You, ZY (corresponding author), Peking Univ, Sch Phys, Beijing 100871, Peoples R China.","NSFCNational Natural Science Foundation of China (NSFC) [10675004, 10375002]; Doctoral Fund of Ministry of Education of ChinaMinistry of Education, China",12,12,JUL,2008,10.1088/1674-1137/32/7/012,
STRUCTURE DESIGN OF THE BEIJING SPECTROMETER III BEAM PIPE,"Zheng, LF (corresponding author), Univ Sci & Technol Beijing, Sch Mech Engn, Beijing 100083, Peoples R China.",Chinese Academy of SciencesChinese Academy of Sciences [KJ95T-03],12,29,JUN,2008,10.3901/CJME.2008.03.001,
Some topics on charmonium decays at BESIII experiment,"Chen, HX (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,JUN,2008,10.1088/1674-1137/32/6/017,
On two-body decays of a scalar glueball,"Chao, KT (corresponding author), Peking Univ, Dept Phys, Beijing 100871, Peoples R China.",,13,13,JUN,2008,10.1140/epjc/s10052-008-0606-6,
CP measurement in quantum teleportation of neutral mesons,"Shi, Y (corresponding author), Fudan Univ, Dept Phys, 220 Handan Rd, Shanghai 200433, Peoples R China.",,7,7,JUN,2008,10.1140/epjc/s10052-008-0593-7,
Weak decays of J/psi: the non-leptonic case,"Wang, YM (corresponding author), Inst High Energy Phys, POB 914 4, Beijing 100049, Peoples R China.",,18,19,JUN,2008,10.1140/epjc/s10052-008-0619-1,
Superconducting magnets and cooling system in BEPCII,"Wang, L (corresponding author), Harbin Inst Technol, Harbin 150001, Peoples R China.",,2,2,JUN,2008,10.1109/TASC.2008.922283,
Design of the Online Integral Dose Monitor System for BESIII EMC,"Gong, H (corresponding author), Tsinghua Univ, Dept Engn Phys, Beijing 100084, Peoples R China.",,0,0,JUN,2008,10.1080/00223131.2008.10875835,
Recent Beijing Spectroscopy (BES) results,"Li, WG (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,JUN,2008,10.1007/s11433-008-0070-1,
"Search for the rare decays J/psi -> D(S)(-)pi, J/psi -> D(-)pi(+), and J/psi -> D(0)K(0)","Zhang, JY (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,3,4,MAY 29,2008,10.1016/j.physletb.2008.04.028,
Neutrino oscillation and the Daya Bay theta(13) experiment,"Young, BL (corresponding author), Iowa State Univ, Dept Phys & Astron, Ames, IA 50010 USA.",,0,0,MAY 20,2008,10.1142/S0217751X08040561,
Study of the online event filtering algorithm for BESIII,"Fu, CD (corresponding author), Tsinghua Univ, Beijing 100084, Peoples R China.",,7,8,MAY,2008,10.1088/1674-1137/32/5/001,
Test of BESIII RPC in the avalanche mode,"Han, JF (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,1,1,MAY,2008,10.1088/1674-1137/32/5/009,
A study of the calibration of wire positions for the BESIII drift chamber using physics data without magnetic field,"Wu, LH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,3,3,APR,2008,10.1088/1674-1137/32/4/005,
Monte Carlo simulation on measurements of branching fractions for some exclusive semileptonic decays of neutral D Mesons on BES-III,"Liu, HH (corresponding author), Henan Univ Sci & Technol, Dept Phys, Luoyang 471003, Peoples R China.",,0,0,APR,2008,,
Observation of Y(2175) in J/psi ->eta phi f(0)(980),,,101,104,MAR 14,2008,10.1103/PhysRevLett.100.102003,
Supersymmetry and the Goldstino-like mode in Bose-Fermi mixtures,"Yu, Y (corresponding author), Chinese Acad Sci, Inst Theoret Phys, POB 2735, Beijing 100080, Peoples R China.",,41,41,MAR 7,2008,10.1103/PhysRevLett.100.090404,
Design and fabrication of the magnets for BEPC II project,"Shi, CT (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,MAR,2008,,
Simulation and error analysis of electro-optic sampling measurement of ultrashort electron beam bunch length,"Sun, DR (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,MAR,2008,,
Quality control and database on resistive plate chambers for the BESIII experiment,"Han, JF (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,1,MAR,2008,10.1088/1674-1137/32/3/007,
"Determination of the psi (3770), psi (4040), psi (4160) and psi (4415) resonance parameters","Hu, HM (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,80,83,FEB 28,2008,10.1016/j.physletb.2007.11.100,
A low noise charge sensitive preamplifier with switch control feedback resistance,"Su, H (corresponding author), Chinese Acad Sci, Inst Modern Phys, Lanzhou 730000, Peoples R China.",,2,3,FEB 20,2008,10.1016/S1001-8042(08)60019-6,
"Measurements of J/psi decays into omega K(K)over-bar pi, phi K(K)over-bar pi and eta(KsK +/-)-K-0 pi(-/+)","Ablikim, M (corresponding author), Acad Sinica, Inst High Energy Phys, Beijing 100049, Peoples R China.",,13,13,FEB,2008,10.1103/PhysRevD.77.032005,
First observation of J/psi and psi(2S) decaying to nK(S)(0)(Lambda)over-bar + c.c.,"Wei, DH (corresponding author), Guangxi Normal Univ, Guilin 541004, Peoples R China.",,7,8,JAN 31,2008,10.1016/j.physletb.2007.11.087,
Design and cooling of BESIII beryllium beam pipe,"Wang, L (corresponding author), Univ Sci & Technol Beijing, Beijing 100083, Peoples R China.",,4,5,JAN 21,2008,10.1016/j.nima.2007.11.004,
Auto-zeroed high speed comparator for the column level readout circuit of a CMOS active pixel sensor based detector,"Li, Y (corresponding author), Shenzhen Univ, Texas Instruments DSPs Lab, Fac Informat Engn, Shenzhen 518060, Peoples R China.",National Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [60572100]; Royal Society (U.K.)Royal Society of London [2006/R3 - Cost Share]; NSFCNational Natural Science Foundation of China (NSFC) [60711130233]; Science Foundation of Shenzhen City [200706],0,0,,2008,10.1109/IWASID.2008.4688420,
Implementation of the Grid Workflow Scheduling for Data Intensive Applications as Scheduling Plug-ins,"Ding, ZH (corresponding author), Jilin Univ, Coll Comp Sci & Technol, Changchun 130023, Peoples R China.","China NSFNational Natural Science Foundation of China (NSFC) [60703024]; Jilin Department of Science and Technology [20070122, 20060532]; NIHUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [P41 RR 08605]; TATRC [W81XWH-07-2-0014]; NSFNational Science Foundation (NSF) [INT-0314015]; OCI [0627026]",0,0,,2008,,
Preliminary commissioning of cryogenic system of BESIII,"Zong, ZG (corresponding author), Tech Inst Phys & Chem, Beijing 100080, Peoples R China.",,0,0,,2008,10.1063/1.2908585,
Numerical simulation of the cryogenic system of BEPCII,"Zong, ZG (corresponding author), Tech Inst Phys & Chem, Beijing 100080, Peoples R China.",,1,2,,2008,,
Particle identification using artificial neural networks at BESIII,"Qin, G (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,5,6,JAN,2008,10.1088/1674-1137/32/1/001,
Deploying HEP Applications on Multiple Grid Infrastructures,"Cheng, YD (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing, Peoples R China.",National Nature Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [EU FP6],0,0,,2008,10.1109/GCC.2008.78,
The large-scale organization of the hadron decay network,"Xu, XP (corresponding author), Hua Zhong Normal Univ, Inst Particle Phys, Wuhan 430079, Peoples R China.",,1,1,JAN,2008,10.1088/1742-5468/2008/01/P01009,
A new gadolinium-loaded liquid scintillator for reactor neutrino detection,"Zhang, ZY (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Nucl Analyt Tech, Beijing 100049, Peoples R China.",,80,86,JAN 1,2008,10.1016/j.nima.2007.09.044,
Search for the decays J/psi ->gamma rho phi and J/psi ->gamma rho omega,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,4,4,JAN,2008,10.1103/PhysRevD.77.012001,
Recent BESII results,"Li, WG (corresponding author), Chinese Acad Sci, Inst High Energy Phys, BESII Collaborat, Beijing 100049, Peoples R China.",,0,0,,2008,,
An underground cosmic-ray detector made of RPC,"Zhang, Q (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,12,12,DEC 21,2007,10.1016/j.nima.2007.09.052,
Direct measurements of the branching fractions for inclusive K-+/- and inclusive semileptonic decays of D+ and D-0 mesons,"Liu, J (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,3,5,DEC 13,2007,10.1016/j.physletb.2007.10.052,
Research and development of gadolinium loaded liquid scintillator for Daya Bay neutrino experiment,"Zhang, ZY (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Key Lab Nucl Analyt Tech, Beijing 100049, Peoples R China.",,13,13,DEC,2007,,
Search for the C-parity violating process J/psi -> gamma gamma via psi(2S) -> pi(+)pi(-) J/psi,"Ablikim, M (corresponding author), Acad Sinica, Inst High Energy Phys, Beijing 100049, Peoples R China.",,2,2,DEC,2007,10.1103/PhysRevD.76.117101,
The relationship between the fractal dimensions of a type of fractal functions and the order of their fractional calculus,"Liang, YS (corresponding author), Nanjing Univ, Dept Math, Nanjing 210093, Peoples R China.",,24,31,NOV,2007,10.1016/j.chaos.2006.01.124,
Bell inequalities in high energy physics,"Ding, YB (corresponding author), Grad Univ Chinese Acad Sci, Dept Phys, Beijing 100049, Peoples R China.",,9,9,NOV,2007,,
Measurements of J/psi and psi(2S) decays into Lambda(Lambda)over-bar pi(0) and Lambda(Lambda)over-bar eta,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,3,3,NOV,2007,10.1103/PhysRevD.76.092003,
The design and mass production on resistive plate chambers for the BESIII experiment,"Han, JF (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,10,11,OCT 11,2007,10.1016/j.nima.2007.07.009,
Correlation analysis in time-of-flight calibration of BESM,"Hu, JF (corresponding author), Univ Sci & Technol China, Dept Modern Phys, Anhua 230026, Peoples R China.",,7,7,OCT,2007,,
Structure fabrication of PI film for GEM detector,"Yi, FT (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,1,3,OCT,2007,,
Analysis on heavy quarkonia transitions with pion emission in terms of the QCD multipole expansion and determination of mass spectra of hybrids,"Ke, HW (corresponding author), Nankai Univ, Dept Phys, Tianjin 300071, Peoples R China.",,17,17,OCT,2007,10.1103/PhysRevD.76.074035,
Quantum helicity entropy of moving bodies,"He, S (corresponding author), Peking Univ, Sch Phys, Inst Theoret Phys, Beijing 100871, Peoples R China.",,16,16,SEP 7,2007,10.1088/1751-8113/40/36/F02,
Cheng-Weyl vector field and its cosmological application,"Wei, H (corresponding author), Tsinghua Univ, Tsinghua Ctr Astrophys, Dept Phys, Beijing 100084, Peoples R China.",,35,36,SEP,2007,10.1088/1475-7516/2007/09/015,
Preliminary commissioning of superconducting magnets and cryogenic system of BEPC II,"Zong, ZG (corresponding author), Chinese Acad Sci, Tech Inst Phys & Chem, Beijing 100080, Peoples R China.",,0,0,JUL 30,2007,10.1142/S0217979207044093,
Cosmic ray test results on resistive plate chamber for the BESIII experiments,"Han, JF (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,13,14,JUL 11,2007,10.1016/j.nima.2007.05.003,
Measurement of psi(2S) radiative decays,"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,27,28,JUL 6,2007,10.1103/PhysRevLett.99.011802,
Monte Carlo simulation on glueball search at BESIII,"Qin, H (corresponding author), Acad Sinica, Inst High Energy Phys, Beijing 100049, Peoples R China.",,1,1,JUL,2007,,
Full power test of superconductor of BESIII magnet,"Huang, S (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,2,2,JUL-AUG,2007,10.1016/j.cryogenics.2007.04.021,
Study of high precision tau mass measurement at BESIII,"Mo, XH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, POB 918-1, Beijing 100049, Peoples R China.",,21,22,JUL,2007,10.1016/j.nuclphysbps.2007.02.107,
Measurements of the observed cross sections for e(+)e(-)-> light hadrons at root S=3.773 and 3.650 GeV,"Ma, HL (corresponding author), China Ctr Adv Sci & Technol, Beijing 100080, Peoples R China.",,19,19,JUN 28,2007,10.1016/j.physletb.2007.05.011,
Neutrino mixing: From the broken mu-tau symmetry to the broken Friedberg-Lee symmetry,"Xing, ZZ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,10,10,JUN,2007,10.1142/S0218301307006721,
Possibility of measuring a(0)(0)(980)-f(0)(980) mixing from J/psi ->phi a(0)(0)(980),"Wu, JJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, POB 918 4, Beijing 10049, Peoples R China.",,61,62,JUN,2007,10.1103/PhysRevD.75.114012,
U boson at the BES III detector,"Zhu, SH (corresponding author), Peking Univ, Sch Phys, Inst Theoret Phys, Beijing 100871, Peoples R China.",,21,22,JUN,2007,10.1103/PhysRevD.75.115004,
Measurements of psi (2S) decays to octet baryon-antibaryon pairs,"Jiao, JB (corresponding author), Shandong Univ, Jinan 250100, Peoples R China.",,24,26,MAY 3,2007,10.1016/j.physletb.2007.02.029,
Search for D-0-D-0 mixing with double-layer TOF at BESIII,"Sun, YZ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,6,6,MAY,2007,,
The number of elementary particles in a fractal M-theory of 11.2360667977 dimensions,"He, JH (corresponding author), Donghua Univ, Coll Sci, 1882 Yan An Xilu Rd,POB 471, Shanghai 200051, Peoples R China.",,10,10,APR,2007,10.1016/j.chaos.2006.06.005,
Construction of a full-length prototype of the BESIII drift chamber and on-detector test for the BESIII drift chamber electronics,"Qin, ZH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,APR,2007,,
An empirical study of boosted neural network for particle classification in high energy collisions,"Yu, M (corresponding author), Huazhong Normal Univ, Inst Particle Phys, Wuhan 430079, Peoples R China.",,0,0,MAR 10,2007,10.1142/S0217751X07034301,
The study of light scalar mesons at BESII,"Liao, HB (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,1,1,MAR,2007,10.1140/epja/i2006-10205-7,
Study of the features of 400nm IMPL RADFET dosimeter,"Gong, H (corresponding author), Tsing Hua Univ, Dept Engn Phys, Beijing 100084, Peoples R China.",,2,3,MAR,2007,,
Beam test of a full-length prototype of the BESIII drift chamber with the readout electronics,"Qin, ZH (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,7,8,FEB 11,2007,10.1016/j.nima.2006.11.032,
Cosmic ray test on CsI(Tl) modules of BESII electromagnetic calorimeter,"Shang, L (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,2,2,FEB,2007,,
BESIII track extrapolation and matching,"Wang, LL (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,12,12,FEB,2007,,
Recent results on J/psi decays from BESII,"Fang, SS (corresponding author), China Ctr Adv Sci & Technol, Beijing 100080, Peoples R China.",,2,2,FEB,2007,10.1016/j.nuclphysbps.2006.11.101,
Production of sigma in psi (2S) -> pi(+)pi(-) J/psi,"Li, G (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,47,47,FEB 1,2007,10.1016/j.physletb.2006.11.056,
New resonance X(1835) and enhanced structures at BESII,"Zhang, CC (corresponding author), Inst High Energy Phys, Expt Phys Ctr, POB 918-1, Beijing 100049, Peoples R China.",,0,0,JAN 30,2007,10.1142/S0217751X07035628,
"Measurement of the branching fractions for J/->gamma pi(0), and gamma eta ' and study of eta '->gamma pi(+)pi(-) decay dynamics","Chen, HX (corresponding author), Chinese Acad Sci, Inst High Energy Phys, 19B Yuquan Rd, Beijing, Peoples R China.",,2,2,JAN 30,2007,10.1142/S0217751X07036014,
Direct measurement of the branching fraction for D+->(K)over-bar(0) mu(+)nu(mu) and determination of Gamma(D-0 -> K-mu(+) nu(mu))/Gamma (D+->(K)over-bar(0) mu(+) nu(mu)),"Rong, G (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,11,13,JAN 4,2007,10.1016/j.physletb.2006.11.026,
The framework of BESIII event filter,"Liu, YJ (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Expt Phys Ctr, Beijing 100049, Peoples R China.",,0,0,,2007,,
Trigger system of BESIII,"Liu, Z (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,,2007,,
The two scintillator detectors on BESIII,"Heng, YK (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,9,9,,2007,10.1109/NSSMIC.2007.4436287,
FPGA based high speed data transmission with optical fiber in trigger system of BESIII,"Xu, H (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.","Knowledge Innovation Project of Chinese Academy of SciencesKnowledge Innovation Program of the Chinese Academy of Sciences [U-602, U-34]",3,4,,2007,10.1109/NSSMIC.2007.4436453,
The BESIII Drift Chamber,"Wu, LH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing, Peoples R China.","BEPCII/BESIII construction project; Knowledge Innovation Project of Chinese Academy of Sciences (IHEP) [U-602, U-34]",4,4,,2007,10.1109/NSSMIC.2007.4436516,
Frequent variable sets based clustering for artificial neural networks particle classification,"Bie, RF (corresponding author), Beijing Normal Univ, Coll Informat Sci & Technol, Beijing 100875, Peoples R China.","National Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [60273015, 10001006]",0,0,,2007,,
Possible evidence that pulsars are quark stars,"Xu, RX (corresponding author), Peking Univ, Sch Phys, Dept Astron, Beijing 100871, Peoples R China.",,4,4,,2007,,
Realizing all-optical full-adder logic operation with Photorefractive crystal phase conjugation,"Lv, GH (corresponding author), Heilongjiang Univ, Coll Elect Engn, Harbin 150080, Peoples R China.",Heilongjiang post doctorial Financial [LBH-Z05109]; Education Department of Heilongjiang Province project [10541167],0,0,,2007,10.1117/12.725702,
Performance study of RPC prototypes for the BESIII muon detector,"Xie, YG (corresponding author), CAS, Inst High Energy Phys, Beijing 100049, Peoples R China.",,8,8,JAN,2007,,
Conjectures on the exact solution of three-dimensional (3D) simple orthorhombic Ising lattices,"Zhang, ZD (corresponding author), Chinese Acad Sci, Met Res Inst, Shenyang Natl Lab Mat Sci, 72 Wenhua Rd, Shenyang 110016, Peoples R China.",,84,87,,2007,10.1080/14786430701646325,
Improved measurement of psi(2S) decays into tau(+)tau(-),"Ablikim, M (corresponding author), Purdue Univ, W Lafayette, IN 47907 USA.",,3,3,DEC,2006,10.1103/PhysRevD.74.112003,
Measurements of (XcJ)-> K+K-K+K- decays,"Wang, ZY (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,11,12,NOV 9,2006,10.1016/j.physletb.2006.09.040,
S wave K pi scattering and dynamically generated scalar resonances,"Guo, FK (corresponding author), CCAST, World Lab, Beijing 100080, Peoples R China.",,0,0,NOV,2006,,
Time information study of CsI(Tl) crystal calorimeter of BESIII,"Shan, LM (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,2,2,NOV,2006,,
IHEP S-band 45MW pulse power klystron development,"Dong, D (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,1,5,NOV,2006,,
The construction of the BESIII experiment,"Wang, YF (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,18,19,OCT 30,2006,10.1142/S0217751X06034513,
Recent results of D physics on BESII,"Ma, HL (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,OCT 30,2006,10.1142/S0217751X06034562,
Recent results of psi ' decay at BESII,"Mo, XH (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100039, Peoples R China.",,0,0,OCT 30,2006,10.1142/S0217751X06034835,
Recent results of chi(cJ) decays from BESII,"Ping, RG (corresponding author), Chinese Acad Sci, Inst High Energy Phys, Beijing 100049, Peoples R China.",,0,0,OCT 30,2006,10.1142/S0217751X06034847,
Observation of a broad 1(--) resonant structure around 1.5 GeV/c(2) in the K+K- mass spectrum in J/psi -> K+K-pi(0),"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,37,38,OCT 6,2006,10.1103/PhysRevLett.97.142002,
Effect of light transmission characteristic of scintillator on the intrinsic time resolution of ETOF,"Li, X (corresponding author), Univ Sci & Technol China, Dept Modern Phys, Hefei 230026, Peoples R China.",,1,1,OCT,2006,,
A paradox on quantum field theory of neutrino mixing and oscillations,"Li, YF (corresponding author), Univ Sci & Technol China, Dept Modern Phys, Hefei 230026, Anhui, Peoples R China.",,12,12,OCT,2006,,
Testing the time resolution of the BESIII end-cap TOF detectors,"Li, C (corresponding author), Univ Sci & Technol China, Dept Modern Phys, Hefei 230026, Peoples R China.",,15,16,OCT,2006,10.1088/0957-0233/17/10/017,
Measurements of psi(2S) decays into gamma K(K)over-bar pi and gamma eta pi(+)pi(-),"Ablikim, M (corresponding author), Inst High Energy Phys, Beijing 100049, Peoples R China.",,12,12,OCT,2006,10.1103/PhysRevD.74.072001,
Radiative decays of charmonium into light mesons,"Chao, KT (corresponding author), Peking Univ, Dept Phys, Beijing 100871, Peoples R China.",,13,15,SEP,2006,,
